id,customer_id,customer_type,payment_status,order_status,payment_method,transaction_ref,order_amount,admin_commission,is_pause,cause,shipping_address,created_at,updated_at,discount_amount,discount_type,coupon_code,coupon_discount_bearer,shipping_method_id,shipping_cost,order_group_id,verification_code,seller_id,seller_is,shipping_address_data,delivery_man_id,deliveryman_charge,expected_delivery_date,order_note,billing_address,billing_address_data,order_type,extra_discount,extra_discount_type,checked,shipping_type,delivery_type,delivery_service_name,third_party_delivery_tracking_id
100011,8,customer,paid,delivered,cash_on_delivery,,8150,0.00,0,,2,2023-07-16T20:16:41.000000Z,2023-07-18T18:33:28.000000Z,0,,0,inhouse,2,25,2615-aMfED-1689538601,744497,1,admin,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,2,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",default_type,0,,1,order_wise,,,
100012,10,customer,unpaid,canceled,cash_on_delivery,,60535,0.00,0,,3,2023-07-17T08:54:02.000000Z,2023-07-21T17:58:03.000000Z,0,,0,inhouse,2,35,7181-bfcQA-1689584042,503761,1,admin,"{""id"":3,""customer_id"":10,""contact_person_name"":""Johir"",""address_type"":""others"",""address"":""H#53, R#9, Shekertack, Mohammedpur, Dhaka-1207, Bangladesh."",""city"":""Dhaka"",""zip"":""1207"",""phone"":""+8801762223973"",""created_at"":""2023-07-17T08:48:32.000000Z"",""updated_at"":""2023-07-17T08:48:32.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,afadfg,,,default_type,0,,1,order_wise,,,
100013,0,customer,paid,delivered,cash,,2250,0.00,0,,,2023-07-21T17:55:09.000000Z,2023-07-21T17:55:09.000000Z,0,,,inhouse,0,0,def-order-group,0,1,admin,,,0,,,,,POS,0,,1,,,,
100014,8,customer,unpaid,pending,cash_on_delivery,,3970,0.00,0,,2,2023-07-22T10:35:48.000000Z,2023-07-22T10:36:06.000000Z,0,,0,inhouse,2,95,9757-Srxce-1690022148,806828,1,admin,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100015,8,customer,paid,delivered,cash_on_delivery,,2625,260.00,0,,2,2023-07-22T10:35:49.000000Z,2023-07-22T20:19:45.000000Z,0,,0,inhouse,2,25,9757-Srxce-1690022148,238678,4,seller,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100016,8,customer,unpaid,pending,cash_on_delivery,,3535,352.00,0,,2,2023-07-22T20:21:40.000000Z,2023-07-22T20:22:03.000000Z,0,,0,inhouse,2,15,1312-31orE-1690057299,950211,4,seller,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100017,8,customer,unpaid,processing,cash_on_delivery,,5535,552.00,0,,2,2023-07-22T20:22:24.000000Z,2023-07-31T17:23:54.000000Z,0,,0,inhouse,2,15,5521-Tl3S0-1690057344,364323,4,seller,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100018,8,customer,unpaid,pending,cash_on_delivery,,60535,0.00,0,,2,2023-07-23T17:15:42.000000Z,2023-07-25T03:48:28.000000Z,0,,0,inhouse,2,35,9709-7EHTn-1690132541,769272,1,admin,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100019,8,customer,unpaid,pending,cash_on_delivery,,695,0.00,0,,2,2023-07-23T17:16:46.000000Z,2023-07-25T03:48:28.000000Z,0,,0,inhouse,2,25,4737-gqu5k-1690132605,508650,1,admin,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100020,8,customer,unpaid,processing,cash_on_delivery,,1255,124.00,0,,2,2023-08-01T15:03:37.000000Z,2023-08-01T15:04:36.000000Z,0,,0,inhouse,2,15,8993-rUlcS-1690902217,190865,4,seller,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100021,8,customer,unpaid,pending,cash_on_delivery,,1955,195.00,0,,2,2023-08-10T20:00:28.000000Z,2023-08-10T20:00:39.000000Z,0,,0,inhouse,2,5,7223-omj9W-1691697628,913320,6,seller,"{""id"":2,""customer_id"":8,""contact_person_name"":""sayem"",""address_type"":""home"",""address"":""vfdvfdv"",""city"":""Dhaka"",""zip"":""1207"",""phone"":""01700000011"",""created_at"":""2023-07-16T07:09:22.000000Z"",""updated_at"":""2023-07-16T07:09:22.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":"""",""longitude"":"""",""is_billing"":0}",,0,,,,,default_type,0,,1,order_wise,,,
100022,18,customer,unpaid,pending,cash_on_delivery,,1915,191.00,0,,6,2023-08-13T11:21:37.000000Z,2023-08-13T11:41:49.000000Z,0,,0,inhouse,2,5,9658-zFIYc-1691925697,749068,6,seller,"{""id"":6,""customer_id"":18,""contact_person_name"":""Md Sajjad"",""address_type"":""home"",""address"":""Monipur."",""division"":""Chittagong"",""city"":""Cumilla"",""thana"":""Homna"",""zip"":""1209"",""phone"":""01762223976"",""created_at"":""2023-08-13T11:21:11.000000Z"",""updated_at"":""2023-08-13T11:21:11.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":""0"",""longitude"":""0"",""is_billing"":0}",,0,,Nosdgsdg,,,default_type,0,,1,order_wise,,,
100023,18,customer,unpaid,pending,cash_on_delivery,,1955,195.00,0,,6,2023-08-13T11:49:51.000000Z,2023-08-13T11:49:59.000000Z,0,,0,inhouse,2,5,4763-j9hdY-1691927391,702572,5,seller,"{""id"":6,""customer_id"":18,""contact_person_name"":""Md Sajjad"",""address_type"":""home"",""address"":""Monipur."",""division"":""Chittagong"",""city"":""Cumilla"",""thana"":""Homna"",""zip"":""1209"",""phone"":""01762223976"",""created_at"":""2023-08-13T11:49:24.000000Z"",""updated_at"":""2023-08-13T11:49:24.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":""0"",""longitude"":""0"",""is_billing"":0}",,0,,"just for testing",,,default_type,0,,1,order_wise,,,
100024,18,customer,unpaid,pending,cash_on_delivery,,2984,297.90,0,,6,2023-08-13T11:49:52.000000Z,2023-08-13T11:49:59.000000Z,0,,0,inhouse,2,5,4763-j9hdY-1691927391,482942,13,seller,"{""id"":6,""customer_id"":18,""contact_person_name"":""Md Sajjad"",""address_type"":""home"",""address"":""Monipur."",""division"":""Chittagong"",""city"":""Cumilla"",""thana"":""Homna"",""zip"":""1209"",""phone"":""01762223976"",""created_at"":""2023-08-13T11:49:24.000000Z"",""updated_at"":""2023-08-13T11:49:24.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":""0"",""longitude"":""0"",""is_billing"":0}",,0,,"just for testing",,,default_type,0,,1,order_wise,,,
100025,18,customer,unpaid,pending,cash_on_delivery,,1915,191.00,0,,6,2023-08-13T11:54:53.000000Z,2023-08-13T12:01:08.000000Z,0,,0,inhouse,2,5,8331-lC1jE-1691927693,176238,6,seller,"{""id"":6,""customer_id"":18,""contact_person_name"":""Md Sajjad"",""address_type"":""home"",""address"":""Monipur."",""division"":""Chittagong"",""city"":""Cumilla"",""thana"":""Homna"",""zip"":""1209"",""phone"":""01762223976"",""created_at"":""2023-08-13T11:49:24.000000Z"",""updated_at"":""2023-08-13T11:49:24.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":""0"",""longitude"":""0"",""is_billing"":0}",,0,,sfgdsgsd,,,default_type,0,,1,order_wise,,,
100026,18,customer,unpaid,pending,cash_on_delivery,,1955,195.00,0,,6,2023-08-13T11:54:54.000000Z,2023-08-13T12:01:08.000000Z,0,,0,inhouse,2,5,8331-lC1jE-1691927693,729049,5,seller,"{""id"":6,""customer_id"":18,""contact_person_name"":""Md Sajjad"",""address_type"":""home"",""address"":""Monipur."",""division"":""Chittagong"",""city"":""Cumilla"",""thana"":""Homna"",""zip"":""1209"",""phone"":""01762223976"",""created_at"":""2023-08-13T11:49:24.000000Z"",""updated_at"":""2023-08-13T11:49:24.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":""0"",""longitude"":""0"",""is_billing"":0}",,0,,sfgdsgsd,,,default_type,0,,1,order_wise,,,
100027,18,customer,unpaid,pending,cash_on_delivery,,7245,0.00,0,,6,2023-08-13T11:59:50.000000Z,2023-08-13T12:01:08.000000Z,0,,0,inhouse,2,85,5562-XzSXo-1691927990,799301,1,admin,"{""id"":6,""customer_id"":18,""contact_person_name"":""Md Sajjad"",""address_type"":""home"",""address"":""Monipur."",""division"":""Chittagong"",""city"":""Cumilla"",""thana"":""Homna"",""zip"":""1209"",""phone"":""01762223976"",""created_at"":""2023-08-13T11:49:24.000000Z"",""updated_at"":""2023-08-13T11:49:24.000000Z"",""state"":null,""country"":""Bangladesh"",""latitude"":""0"",""longitude"":""0"",""is_billing"":0}",,0,,"This only for testing purpose......!!!!!!!!",,,default_type,0,,1,order_wise,,,
